timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-04-11,103.04,104.55,100.55,100.63,16.7466,2855394,0.0,1.0
2016-04-12,100.82,103.68,98.94,102.98,17.1377,3800473,0.0,1.0
2016-04-13,105.49,107.51,105.07,107.0,17.8067,3378848,0.0,1.0
2016-04-14,107.03,108.25,106.23,107.07,17.8184,2317539,0.0,1.0
2016-04-15,106.72,107.48,105.4401,106.25,17.6819,1731075,0.0,1.0
2016-04-18,105.37,108.04,105.16,107.82,17.9432,2113787,0.0,1.0
2016-04-19,108.9,109.0,104.25,105.96,17.6337,3303842,0.0,1.0
2016-04-20,105.82,107.65,104.8401,106.22,17.6769,2245192,0.0,1.0
2016-04-21,106.16,107.36,104.81,106.25,17.6819,2780724,0.0,1.0
2016-04-22,102.17,103.55,98.98,101.44,16.8814,4194224,0.0,1.0
2016-04-25,100.33,101.42,99.93,101.36,16.8681,2019814,0.0,1.0
2016-04-26,101.95,102.57,99.02,99.97,16.6368,2277392,0.0,1.0
2016-04-27,96.94,98.19,95.06,97.57,16.2374,3812619,0.0,1.0
2016-04-28,97.89,99.57,93.44,94.11,15.6616,3349365,0.0,1.0
2016-04-29,93.79,94.56,90.2981,92.61,15.412,3984649,0.0,1.0
2016-05-02,93.19,95.49,92.05,95.06,15.8197,2458685,0.0,1.0
2016-05-03,93.07,94.32,91.68,92.53,15.3987,3040850,0.0,1.0
2016-05-04,90.83,91.77,89.98,90.7,15.0941,3232169,0.0,1.0
2016-05-05,91.56,92.24,90.0101,90.65,15.0858,2999501,0.0,1.0
2016-05-06,89.2,92.04,88.95,91.96,15.3038,3267733,0.0,1.0
2016-05-09,92.05,94.03,91.92,92.77,15.4386,2469565,0.0,1.0
2016-05-10,93.76,96.72,93.28,96.66,16.086,2426655,0.0,1.0
2016-05-11,96.19,97.04,93.88,94.02,15.6466,2647173,0.0,1.0
2016-05-12,94.76,94.93,90.76,92.7,15.4269,3848805,0.0,1.0
2016-05-13,92.64,94.1599,91.15,91.58,15.2406,3249265,0.0,1.0
2016-05-16,91.95,96.12,91.85,95.11,15.828,2443568,0.0,1.0
2016-05-17,95.0,95.67,90.79,91.46,15.2206,3900558,0.0,1.0
2016-05-18,90.95,93.99,90.32,92.5,15.3937,4957704,0.0,1.0
2016-05-19,91.37,92.136,89.05,91.04,15.1507,5293667,0.0,1.0
2016-05-20,92.15,95.16,91.99,94.08,15.6566,2611507,0.0,1.0
2016-05-23,94.32,95.38,93.43,93.62,15.5801,1810960,0.0,1.0
2016-05-24,95.23,99.6499,95.16,99.35,16.5336,3125062,0.0,1.0
2016-05-25,100.49,102.3499,99.93,101.49,16.8898,2953525,0.0,1.0
2016-05-26,101.83,102.71,101.02,102.34,17.0312,1984849,0.0,1.0
2016-05-27,102.51,103.96,102.5,103.88,17.2875,2232093,0.0,1.0
2016-05-31,104.45,104.99,102.95,104.5,17.3907,2353122,0.0,1.0
2016-06-01,103.55,105.21,103.27,104.54,17.3973,2094511,0.0,1.0
2016-06-02,103.83,105.19,102.2,105.13,17.4955,2180412,0.0,1.0
2016-06-03,104.53,104.721,101.66,103.69,17.2559,3240168,0.0,1.0
2016-06-06,104.16,105.63,103.72,104.8,17.4406,1791625,0.0,1.0
2016-06-07,105.14,105.3,103.86,104.06,17.3175,1606414,0.0,1.0
2016-06-08,104.63,105.18,103.4,104.52,17.394,1713762,0.0,1.0
2016-06-09,103.27,104.37,102.67,104.06,17.3175,2077659,0.0,1.0
2016-06-10,101.26,101.78,99.431,100.56,16.735,3369950,0.0,1.0
2016-06-13,98.87,100.4537,97.6,97.98,16.3056,2480233,0.0,1.0
2016-06-14,97.18,98.99,95.8,98.03,16.314,2952725,0.0,1.0
2016-06-15,98.67,98.99,96.61,97.15,16.1675,2216181,0.0,1.0
2016-06-16,95.72,98.23,93.7828,97.85,16.284,3424226,0.0,1.0
2016-06-17,97.45,97.45,93.85,94.5,15.7265,3479572,0.0,1.0
2016-06-20,97.89,99.13,96.06,96.2,16.0094,2900894,0.0,1.0
2016-06-21,96.79,97.77,96.112,97.16,16.1692,1800252,0.0,1.0
2016-06-22,97.44,99.05,96.25,96.53,16.0643,2152014,0.0,1.0
